"vary","value","sim","sensitivity","specificity","fdr","n_selected"
"households",10,14,0.8,0.2,0.95,80
"households",10,15,1,0.157894736842105,0.941176470588235,85
"households",10,16,0.8,0.273684210526316,0.945205479452055,73
"households",10,17,0.8,0.336842105263158,0.940298507462687,67
"households",10,18,1,0.389473684210526,0.920634920634921,63
"households",10,19,1,0.357894736842105,0.924242424242424,66
"households",10,20,1,0.168421052631579,0.94047619047619,84
"households",10,21,0.8,0.178947368421053,0.951219512195122,82
"households",10,22,1,0.231578947368421,0.935897435897436,78
"households",10,23,0.8,0.178947368421053,0.951219512195122,82
"households",10,24,0.8,0.231578947368421,0.948051948051948,77
"households",10,25,1,0.442105263157895,0.913793103448276,58
"households",10,26,1,0.2,0.938271604938272,81
"households",10,27,0.8,0.273684210526316,0.945205479452055,73
"households",10,28,0.8,0.221052631578947,0.948717948717949,78
"households",10,29,1,0.347368421052632,0.925373134328358,67
"households",10,30,0.8,0.126315789473684,0.954022988505747,87
"households",10,31,1,0.305263157894737,0.929577464788732,71
"households",10,32,0.6,0.315789473684211,0.955882352941177,68
"households",10,33,1,0.252631578947368,0.934210526315789,76
"households",10,34,0.8,0.178947368421053,0.951219512195122,82
"households",10,35,0.8,0.368421052631579,0.9375,64
"households",10,36,0.8,0.336842105263158,0.940298507462687,67
"households",10,37,1,0.252631578947368,0.934210526315789,76
"households",10,38,0.6,0.547368421052632,0.934782608695652,46
"households",10,39,1,0.336842105263158,0.926470588235294,68
"households",10,40,0.8,0.378947368421053,0.936507936507937,63
"households",10,41,1,0.178947368421053,0.939759036144578,83
"households",10,42,0.8,0.147368421052632,0.952941176470588,85
"households",10,43,1,0.126315789473684,0.943181818181818,88
"households",10,44,0.6,0.326315789473684,0.955223880597015,67
"households",10,45,1,0.210526315789474,0.9375,80
"households",10,46,0.6,0.168421052631579,0.963414634146341,82
"households",10,47,0.8,0.378947368421053,0.936507936507937,63
"households",10,48,0.8,0.2,0.95,80
"households",10,49,1,0.410526315789474,0.918032786885246,61
"households",10,50,1,0.326315789473684,0.927536231884058,69
"households",20,1,0.8,0.389473684210526,0.935483870967742,62
"households",20,2,1,0.221052631578947,0.936708860759494,79
"households",20,3,1,0.178947368421053,0.939759036144578,83
"households",20,4,0.8,0.4,0.934426229508197,61
"households",20,5,1,0.326315789473684,0.927536231884058,69
"households",20,6,1,0.315789473684211,0.928571428571429,70
"households",20,7,0.8,0.294736842105263,0.943661971830986,71
"households",20,8,1,0.0526315789473684,0.947368421052632,95
"households",20,9,1,0.294736842105263,0.930555555555556,72
"households",20,10,0.8,0.305263157894737,0.942857142857143,70
"households",20,11,1,0.421052631578947,0.916666666666667,60
"households",20,12,1,0.136842105263158,0.942528735632184,87
"households",20,13,1,0.6,0.883720930232558,43
"households",20,14,1,0.157894736842105,0.941176470588235,85
"households",20,15,0.8,0.273684210526316,0.945205479452055,73
"households",20,16,1,0.273684210526316,0.932432432432432,74
"households",20,17,0.8,0.284210526315789,0.944444444444444,72
"households",20,18,0.8,0.4,0.934426229508197,61
"households",20,19,1,0.189473684210526,0.939024390243902,82
"households",20,20,1,0.568421052631579,0.891304347826087,46
"households",20,21,1,0.284210526315789,0.931506849315068,73
"households",20,22,0.8,0.336842105263158,0.940298507462687,67
"households",20,23,1,0.189473684210526,0.939024390243902,82
"households",20,24,1,0.252631578947368,0.934210526315789,76
"households",20,25,1,0.347368421052632,0.925373134328358,67
"households",20,26,1,0.242105263157895,0.935064935064935,77
"households",20,27,0.8,0.421052631578947,0.932203389830508,59
"households",20,28,1,0.305263157894737,0.929577464788732,71
"households",20,29,0.8,0.273684210526316,0.945205479452055,73
"households",20,30,1,0.368421052631579,0.923076923076923,65
"households",20,31,1,0.273684210526316,0.932432432432432,74
"households",20,32,0.8,0.221052631578947,0.948717948717949,78
"households",20,33,1,0.2,0.938271604938272,81
"households",20,34,0.8,0.115789473684211,0.954545454545455,88
"households",20,35,1,0.263157894736842,0.933333333333333,75
"households",20,36,1,0.589473684210526,0.886363636363636,44
"households",20,37,1,0.315789473684211,0.928571428571429,70
"households",20,38,0.8,0.273684210526316,0.945205479452055,73
"households",20,39,1,0.273684210526316,0.932432432432432,74
"households",20,40,0.6,0.315789473684211,0.955882352941177,68
"households",20,41,1,0.326315789473684,0.927536231884058,69
"households",20,42,1,0.315789473684211,0.928571428571429,70
"households",20,43,1,0.221052631578947,0.936708860759494,79
"households",20,44,1,0.157894736842105,0.941176470588235,85
"households",20,45,1,0.157894736842105,0.941176470588235,85
"households",20,46,1,0.336842105263158,0.926470588235294,68
"households",20,47,1,0.168421052631579,0.94047619047619,84
"households",20,48,0.8,0.4,0.934426229508197,61
"households",20,49,1,0.178947368421053,0.939759036144578,83
"households",20,50,1,0.357894736842105,0.924242424242424,66
"households",40,1,1,0.557894736842105,0.893617021276596,47
"households",40,2,0.8,0.357894736842105,0.938461538461538,65
"households",40,3,1,0.210526315789474,0.9375,80
"households",40,4,0.8,0.210526315789474,0.949367088607595,79
