"vary","value","sim","model","fdr_threshold","sensitivity","false_positives","n_significant","observed_fdr"
"households",10,33,"Simple univariate",0.1,0.6,18,21,0.857142857142857
"households",10,33,"Simple univariate",0.2,1,30,35,0.857142857142857
"households",10,33,"Covariate-adjusted",0.05,0.2,10,11,0.909090909090909
"households",10,33,"Covariate-adjusted",0.1,0.4,11,13,0.846153846153846
"households",10,33,"Covariate-adjusted",0.2,0.6,16,19,0.842105263157895
"households",10,34,"Simple univariate",0.05,0.4,15,17,0.882352941176471
"households",10,34,"Simple univariate",0.1,0.4,20,22,0.909090909090909
"households",10,34,"Simple univariate",0.2,0.4,32,34,0.941176470588235
"households",10,34,"Covariate-adjusted",0.05,0.2,9,10,0.9
"households",10,34,"Covariate-adjusted",0.1,0.2,10,11,0.909090909090909
"households",10,34,"Covariate-adjusted",0.2,0.4,31,33,0.939393939393939
"households",10,35,"Simple univariate",0.05,0.8,15,19,0.789473684210526
"households",10,35,"Simple univariate",0.1,0.8,20,24,0.833333333333333
"households",10,35,"Simple univariate",0.2,0.8,33,37,0.891891891891892
"households",10,35,"Covariate-adjusted",0.05,0.4,2,4,0.5
"households",10,35,"Covariate-adjusted",0.1,0.4,4,6,0.666666666666667
"households",10,35,"Covariate-adjusted",0.2,0.6,13,16,0.8125
"households",10,36,"Simple univariate",0.05,1,18,23,0.782608695652174
"households",10,36,"Simple univariate",0.1,1,27,32,0.84375
"households",10,36,"Simple univariate",0.2,1,35,40,0.875
"households",10,36,"Covariate-adjusted",0.05,0.2,5,6,0.833333333333333
"households",10,36,"Covariate-adjusted",0.1,0.4,6,8,0.75
"households",10,36,"Covariate-adjusted",0.2,0.8,22,26,0.846153846153846
"households",10,37,"Simple univariate",0.05,0.6,8,11,0.727272727272727
"households",10,37,"Simple univariate",0.1,0.6,10,13,0.769230769230769
"households",10,37,"Simple univariate",0.2,0.6,13,16,0.8125
"households",10,37,"Covariate-adjusted",0.05,0.2,1,2,0.5
"households",10,37,"Covariate-adjusted",0.1,0.2,2,3,0.666666666666667
"households",10,37,"Covariate-adjusted",0.2,0.6,10,13,0.769230769230769
